Issue id,Summary,Status,Priority,Resolution,Description
221852,The button to expand and collabs the replace portion of the find all dialog box is unlabeled,,,,"Steps to reproduce: 1. in any document, press controll+shift+f to open the find all functionality. 1. press tab (4 times) until you hear ""button"" or ""button expanded"". Issues: 1. JAWS does not announce that the button is an expandable one, and that it is in the collapsed state. This appears to be a regression in the insiders build when compared with the latest stable release, where the button is announced as collapsed or expanded. 2. JAWS does not have any label for the button. It is just announced as ""button""."
221826,"When replacing text in a large enough file, the old selection is incorrectly preserved",,,,"Repro: 1. Open https://github.com/microsoft/vscode/blob/739f145f893d090d0a6f48ac457cd27cdf674c89/src/vs/workbench/contrib/terminalContrib/suggest/test/browser/recordings/windows11_pwsh_input_ls_complete_ls.ts 2. Select `\""ResultType\"":` 3. Ctrl+h 4. Replace all, 🐛 the old selection is retained but it's not valid anymore as the original text was removed ![Recording 2024-07-16 at 08 30 19 (1)](https://github.com/user-attachments/assets/3579a6ff-cf29-4163-916f-e2fc249996c2)"
221820,Issue Reporter: Repository link issues,,,,"- When I open the issue reporter using inline chat (`Report Issue`) and press on the repository link at the bottom of the page, the repository website opens 3 times. It seems that the event listener is being added to the `issueRepoName` DOM element multiple times as it is registered inside an update method. - When I open the issue reporter using the menu at the top and select an extension, the link to the repository is not created"
221818,Reveal in explorer throws,,,completed,Seeing this when I run the command: ![image](https://github.com/user-attachments/assets/e804be96-cc50-4263-a8d0-7aceafb3ab92)
221801,Terminal completions are often not loaded on start up,,,completed,"Repro: 1. `""terminal.integrated.suggest.enabled"": true` 2. Create terminals and type `Get-`, 🐛 it seems like more often than not right now the completions aren't being loaded ![Recording 2024-07-16 at 04 21 32](https://github.com/user-attachments/assets/4421a449-e0a7-4910-9cb7-ffee06b2b335)"
221798,Terminal sticky scroll goes to bottom of viewport when resized in the background,,,completed,"Repro: 1. Open vscode codebase 2. Ctrl+shift+b, verify sticky scroll is on top 3. Create a new terminal 4. Resize it horizontally 5. Go back to the tasks, 🐛 sticky scroll header is on the bottom ![Recording 2024-07-16 at 03 48 02](https://github.com/user-attachments/assets/285b1e62-ccae-4906-a391-73c1d928f8b4)"
221789,An extension quick pick can break quick open,,,completed,"This seems to require that an extension quick pick is filtered before the nodes are displayed. It can be reproduced with GHPR: 1. Install GHPR 2. Open a repo where there are lots of branches, such as microsoft/vscode 3. ""Create Pull Request"" 4. You need to the right timing here so do the following in quick succession: - Click the ""base"" branch the create view - Start typing something that will match to a node once it loads, like ""release"" - Hit enter to select one of the ""release"" branches 5. 🐛 Nothing will seem to happen. The quick pick selection will not be taken. 6. `esc` out and do `ctrl+p` to open quick open. Type a file name and `enter`. 🐛 the file will not open Stack trace from step 4: ``` ERR TreeError [QuickInput] Tree element not found: [object Object]: Error: TreeError [QuickInput] Tree element not found: [object Object] at ObjectTreeModel.getNode (vscode-file://vscode-app/c:/Users/alros/repos/Microsoft/vscode-2/out/vs/base/browser/ui/tree/objectTreeModel.js:196:23) at vscode-file://vscode-app/c:/Users/alros/repos/Microsoft/vscode-2/out/vs/base/browser/ui/tree/abstractTree.js:2204:60 at Array.map (<anonymous>) at vscode-file://vscode-app/c:/Users/alros/repos/Microsoft/vs"
221735,Run recent command doesn't work in remote windows,,,completed,Repro: 1. Windows -> Windows tunnel 2. Focus terminal 3. Run recent command (ctrl+alt+r) ![image](https://github.com/user-attachments/assets/4df6dac7-e08c-4ba2-b5ba-f23c62b406ff)
221724,Monaco overview ruler border is not drawn as expected,,,completed,"Problems: 1. Top-left most pixel is drawn to 3x times 2. Left border is drawn to 2x times ![image](https://github.com/user-attachments/assets/7639a08d-c27a-41f4-80cf-4db7ccc703df) ![image](https://github.com/user-attachments/assets/21291aa6-06ce-495c-8256-933361b49fdb) Setting `""workbench.colorCustomizations"": { ""editorOverviewRuler.border"": ""#f008"" }`: ![image](https://github.com/user-attachments/assets/7960bc93-fd2e-4089-bb9f-18af5c9d4a8d) ![image](https://github.com/user-attachments/assets/6002d02c-63da-4a17-a69b-6afc0296f69e)"
221723,Terminal should have a border at the top of the overview ruler,,,completed,Editor: ![image](https://github.com/user-attachments/assets/a355fa99-2eff-4c14-ba97-71190ce284b1) Terminal: ![image](https://github.com/user-attachments/assets/58a55cfb-98aa-412c-9520-8afeed51c083)
221718,1.91.1 Debian `sudo` in terminal no longer works,,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: 1.91.1 f1e16e1e6214d7c44d078b1f0607b2388f29d729 x64 - OS Version: Debian GNU/Linux 12 (bookworm) 6.1.0-22-amd64 #1 SMP PREEMPT_DYNAMIC Debian 6.1.94-1 (2024-06-21) x86_64 GNU/Linux"
221685,"[VSC-Web] ""renameFile"" may conflict soft-keyboard",,,,"With a lengthy Files Explorer list, renaming files near the lower part of screen: May cause the on-screen soft-keyboard to repeatedly show/hide. . Effectively rendering the function unusable. Reproducible with: https://github.dev/FFmpeg/FFmpeg (""libavcodec"") Affects touch input mostly. (not necessarily mobile browsers exclusive) Other alike text inputs are also susceptible. (e.g. those in ""Settings"") &#x2D;--- Version: 1.91.1 Commit: f1e16e1e6214d7c44d078b1f0607b2388f29d729 User Agent: Firefox 129 Embedder: github.dev <!-- generated by web issue reporter -->"
221638,`accessibility.signalOptions.volume` isn't respected,,,completed,"Type: <b>Bug</b> 1. Toggle screen ready accessiblity mode to be on. Look for screen reader optimized at the bottom bar of VS Code. 2. Open settings, search for ""accessibility volume"". Set it to 0. 3. Take an action in a VS Code editor that creates a sound (which you haven't configured to be ""off""/""never""), eg trigger an inline copilot suggestion. 4. Hear a sound (make sure your computer audio is on) even though you set volume to 0. VS Code version: Code 1.91.1 (f1e16e1e6214d7c44d078b1f0607b2388f29d729, 2024-07-09T22:07:46.768Z) OS version: Darwin arm64 23.5.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Pro (10 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled| |Load (avg)|6, 5, 4| |Memory (System)|32.00GB (0.46GB free)| |Process Argv|--crash-reporter-id 1b7c0ac2-dee9-4f37-bbaf-c04"
221620,Problem comparing files,,,,"Type: <b>Performance Issue</b> I wanted to compare two large files, it didn't work (might been too large/complex?). I also tried switching to non-advanced diff algorithm (`diffEditor.diffAlgorithm` setting). It also didn't work (even tho I have unlimited time set and files are below 50 MB). Problem now is, even tho I closed the files, it still does seem like it's using CPU. Restarting the editor of course helps, but it's weird thing to be. VS Code version: Code 1.91.1 (f1e16e1e6214d7c44d078b1f0607b2388f29d729, 2024-07-09T22:06:49.809Z) OS version: Windows_NT x64 10.0.19045 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz (12 x 2208)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled| |Load (avg)|undefined| |Memory (System)|15.85GB (6.12GB "
221599,[Accessibility] Cannot use word-by-word standard navigation in Output View,,,,"Type: <b>Bug</b> CC @meganrogge [I cannot easily find my authored issue so I am creating a new] Ctrl+LeftArrow and Ctrl+RightArrow does not work in the Output View (Ctrl+Shift+U) area. This happens on Windows. This means screen reader users cannot navigate word by word within the output view. ## Reproducible Steps 1. Press Ctrl+Shift+U to focus in the Output View 2. Choose any output (e.g., terminal) 3. See if you can navigate word by word via Ctrl+LeftArrow or Ctrl+RightArrow VS Code version: Code - Insiders 1.92.0-insider (a35380d6f0ff65f7c35345baafcf1c3f8a378d38, 2024-07-12T05:08:08.550Z) OS version: Windows_NT x64 10.0.22631 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz (8 x 2611)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: ena"
221583,[File Watcher (node.js)] Error: ENAMETOOLONG: name too long,,,,"See this in the console of insiders.. Looks like some ad-hoc chat model is ending up being file watched ``` ERR [File Watcher (node.js)] Error: ENAMETOOLONG: name too long, stat '/^/vscode-copilot-chat-code-block/4b3e2ea8-fd64-4d09-b875-d9770d5e94d4/response_0/0#{""references"":[{""uri"":{""$mid"":1,""fsPath"":""/Users/jrieken/Code/vscode/src/vs/workbench/contrib/inlineChat/browser/inlineChatNotebook.ts"",""external"":""file:/Users/jrieken/Code/vscode/src/vs/workbench/contrib/inlineChat/browser/inlineChatNotebook.ts"",""path"":""/Users/jrieken/Code/vscode/src/vs/workbench/contrib/inlineChat/browser/inlineChatNotebook.ts"",""scheme"":""file""},""range"":{""startLineNumber"":21,""startColumn"":3,""endLineNumber"":21,""endColumn"":72}},{""uri"":{""$mid"":1,""fsPath"":""/Users/jrieken/Code/vscode/src/vs/workbench/api/browser/mainThreadWorkspace.ts"",""external"":""file:/Users/jrieken/Code/vscode/src/vs/workbench/api/browser/mainThreadWorkspace.ts"",""path"":""/Users/jrieken/Code/vscode/src/vs/workbench/api/browser/mainThreadWorkspace.ts"",""scheme"":""file""},""range"":{""startLineNumber"":1,""startColumn"":1,""endLineNumber"":297,""endColumn"":1}},{""uri"":{""$mid"":1,""fsPath"":""/Users/jrieken/Code/vscode/src/vs/workbench/api/common/extHostWorkspace."
221581,`yarn run gulp vscode-darwin-arm64` fails when run in the debug terminal,,,,* open debug terminal * run ` yarn run gulp vscode-darwin-arm64` (you might wanna disable mangling in build/gulpfile.compile.js#L19) * the task fails (see error below) * the task succeeds in a normal terminal ``` [17:19:10] Starting compile-extension-media-build ... [17:19:10] Finished esbuilding extension media /Users/jrieken/Code/vscode/extensions/ipynb/esbuild.js with 0 errors. [17:19:10] 'vscode-darwin-arm64' errored after 34 min [17:19:10] Error: Promise rejected without Error at onError (/Users/jrieken/Code/vscode/node_modules/async-done/index.js:49:15) at process.processTicksAndRejections (node:internal/process/task_queues:95:5) Waiting for the debugger to disconnect... error Command failed with exit code 1. info Visit https://yarnpkg.com/en/docs/cli/run for documentation about this command. Waiting for the debugger to disconnect... ```
221580,Initial terminal dimensions are reload are incorrect,,,completed,"Repro: 1. Open a terminal 2. Reload window 3. Select some rows in terminal, 🐛 the selection should show columns reaching to near the scroll bar ![image](https://github.com/user-attachments/assets/fdb41423-c9eb-4742-8273-d2051d52879a)"
221575,Time to update active terminal is delayed,,,completed,"Repro: 1. Set `""terminal.integrated.tabs.showActiveTerminal"": ""always""` 2. Open 2 different shells in the terminal (they need different titles) 3. Click between the 2 tabs, 🐛 notice that the ""single inline tab"" in the panel's update is delayed ~100ms, it should be instant. ![Recording 2024-07-12 at 07 14 29](https://github.com/user-attachments/assets/90499527-b25b-42dd-928a-15dbf1e03c18)"
221574,Copy paste indent,,,,"Type: <b>Feature Request</b> Copy pasting code breaks the indentation. Every time I have to copy and paste a block, I'm spending precious flow-breaking moments reformatting the pasted code, because VSCode cannot retain the correct indentation. Take a look at how Sublime does it. I can focus on work, not hitting tab and backspace a bunch of times just because the editor cannot do it. VS Code version: Code 1.91.1 (f1e16e1e6214d7c44d078b1f0607b2388f29d729, 2024-07-09T22:06:49.809Z) OS version: Windows_NT x64 10.0.19045 Modes: <!-- generated by issue reporter -->"
221572,Terminal overview ruler should look and hide just like the editor one,,,completed,![image](https://github.com/user-attachments/assets/9c91b903-5a4b-4346-a9a3-f0c317b8166d) To verify check all combinations of these and make sure it's color and whether it's visible makes sense: - Themes - `terminal.integrated.shellIntegration.decorationsEnabled`
221571,Wrong syntax coloring in PHP with string 'AND [',,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: 1.92.0-insider (user setup) Commit: a35380d6f0ff65f7c35345baafcf1c3f8a378d38 Date: 2024-07-12T05:08:08.550Z Electron: 30.1.2 ElectronBuildId: 9759760 Chromium: 124.0.6367.243 Node."
221565,"Voiceover is not announcing Number of suggestions were found while searching any key in ""keyboard shortcut edit field"": A11y_Visual Studio Code Client_Customizations and settings_Keyboard Shortcuts_Screen Reader.",,,,"### GIT Hub Tags: #A11yWCAG2.1; #A11yTCS; #A11ySev2; #Visual Studio Code Client; #BM_Visual Studio Code Client_MAC_JULY2024; #DesktopApp; #WCAG4.1.3; #FTP; #A11yMAS; #Status Message; ### Environment and OS details: MAC Book Pro MAC OS Sonoma Version 14.5 Visual Studio code Insider version 1.92.0 ### Reproduction Steps: 1. Open Visual Studio Code Insiders editor 2. Tab Navigate to setting icon. 3. Select ""Keyboard shortcuts options"" and press enter or Press keyboard shortcut as command K, Command S 4. Keyboard shortcut table gets opened. 5. Tab till ""Keyboard Shortcut Edit field"". 6. Type any Text or Key and Observe that Voiceover is not announcing Number of suggestions were found while searching any key in ""keyboard shortcut edit field"". ### Actual behavior: Voiceover is not announcing Number of suggestions were found while searching any key in ""keyboard shortcut edit field"". ### Expected behavior: Voiceover should be announcing Number of suggestions were found while searching any key in ""keyboard shortcut edit field"". ### User Impact: Screen reader users will face difficulty if Voiceover is not announcing Number of suggestions were found while searching any key in ""keyboard shortc"
221553,Source Control is not showing the badge in this new version,,,completed,"Type: <b>Bug</b> After updating for this new version, the Source Control tab is not showing the badge even with the option ""Show badge"" activated. VS Code version: Code 1.91.0 (Universal) (ea1445cc7016315d0f5728f8e8b12a45dc0a7286, 2024-07-01T18:54:18.541Z) OS version: Darwin arm64 23.4.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Pro (10 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled| |Load (avg)|3, 3, 2| |Memory (System)|16.00GB (0.07GB free)| |Process Argv|--crash-reporter-id 29c218b2-4989-4747-86ba-5ab2a2179e7e| |Screen Reader|no| |VM|0%| </details><details><summary>Extensions (16)</summary> Extension|Author (truncated)|Version ---|---|--- flutter-snippets|ale|3.0.0 dart-code|Dar|3.92.0 flutter|Dar|3.92.0 flutter-find-unused-assets-and-dart-files|ese|1.0.2 bloc|Fel|6.6.6 fl"
221535,Sorting in settings editor seems random,,,,"* open settings UI * search for `sticky scroll` * :bug: note how settings for notebook, tree, editor, and terminal scroll are all interleaving and not sorted by ""scope"" I expect all editor sticky scroll settings in one bucket, than all tree one, etc pp ![Image](https://github.com/user-attachments/assets/139f1777-4086-4530-8419-57c87111024f)"
221531,"How to close the annoying terminal status window, which show information about PID, etc.?",,,completed,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- Please search existing issues to avoid creating duplicates. --> <!-- Describe the feature you'd like. --> I use Visual Studio Code to edit code on my MacOS. I often utilize VSCode Remote to run some Python code on a server. I usually open multiple terminal windows to conveniently view different code results. However, I frequently encounter the issue of being unable to select a specific terminal from the terminal tabs because that annoying terminal status windows always appears under my cursor when I move my mouse over a terminal, blocking my selection of the corresponding window. This fucking window moves very quickly, and I often find myself in the awkward situation of being unable to select the terminal. I wish I could completely disable this utterly useless prompt window. <img width=""523"" alt=""image"" src=""https://github.com/user-attachments/assets/122b5db6-12ab-4167-ba50-c3ff610a7bdd"">"
221521,go to next/previous in accessible view for inline completions doesn't work,,,completed,"I noticed this when working on #221497, which has a different cause I am currently fixing. Wanted to note that it doesn't work _before_ my changes here 😄 https://github.com/user-attachments/assets/2777805a-2dff-4751-a5be-3da51a7e2194"
221497,go to next/previous in the accessible view no longer work,,,completed,1. run a few chat responses 2. open the accessible view 3. try to go to next and previous 4. 🐛 chat list is focused instead
221495,Search editor shows the wrong results when running multiple,,,,"Does this issue occur when all extensions are disabled?: Yes - VS Code Version: 1.91.1 - OS Version: MacOS 13.6.7 Steps to Reproduce: 1. Open a large workspace. 2. Set `search.mode` to ""newEditor"". 3. Quickly do a project-wide search for two different things. Make sure they are running concurrently. When the search finishes for one, check the results of the other search editor. The search results in both editors are the same. It seems to match the last search completed (or maybe it's the results of the search in focus when it competes). I've been noticing this for at least a few months now, so it's not related to the newest version. I can also duplicate this in the Insiders build."
221478,Breakpoints stuck under line numbers,,,completed,I notice on the latest insiders now when I start and stop debugging the breakpoints are ending up below the line numbers instead of the gutter ![Image](https://github.com/user-attachments/assets/7d8c4836-b50c-4464-9ba2-9c85bac44861)
221464,Running a task does not show the build terminal if an editor terminal is open,,,completed,"Type: <b>Bug</b> Preparation: create the following `.vscode/tasks.json` file: ```json { ""version"": ""2.0.0"", ""tasks"": [ { ""label"": ""Test"", ""type"": ""shell"", ""command"": ""sleep 10"" } ] } ``` 1. In the terminals panel, create a new shell terminal 2. Drag it to the main editor area to make it a full-size terminal 3. Also open an editor tab (any file will do, including Command-N) 4. Make sure the panel is closed (press Command-J to close it if it is open) 5. Run the above task (e.g. with Command-P, then type `task Test`) Expected: the panel opens and shows the running task Actual: the editor terminal is brought to the front, and the panel stays closed VS Code version: Code - Insiders 1.92.0-insider (c37f4a49e28831cec1aec1af0f626edaada1f7ce, 2024-07-11T05:03:58.450Z) OS version: Darwin arm64 23.5.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Max (10 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabl"
221450,VS Code 1.91 does not respect SourceControl.count,,,completed,"Type: <b>Bug</b> Starting with version 1.91.0, the count badge on the Source Control icon no longer takes into account the `SourceControl.count` value and instead counts all SourceControlResourceGroup. Steps to reproduce: 1. Set `git.countBadge` to ""tracked"" 2. Create new untracked file in Git repository VS Code version: Code 1.91.0 (Universal) (ea1445cc7016315d0f5728f8e8b12a45dc0a7286, 2024-07-01T18:54:18.541Z) OS version: Darwin arm64 23.5.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Pro (10 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled| |Load (avg)|2, 4, 4| |Memory (System)|32.00GB (1.32GB free)| |Process Argv|--enable-proposed-api jeanp413.open-remote-ssh --crash-reporter-id 481d6038-57fa-4033-9fd6-30428eae7833| |Screen Reader|no| |VM|0%| </details>Extensions: none <!-- g"
221416,Insider build no longer opens .code-workspace from command line,,,completed,"Type: <b>Bug</b> I always start VS Code from the terminal using `code-insiders my.code-workspace` but as of 1 day ago it no longer opens to workspace, instead I get an empty file called ""my.code-workspace"" as if the file doesn't exist. The file exists, and it works fine if I open the work-space from the File menu. VS Code version: Code - Insiders 1.92.0-insider (c0cdcac0616454584ec7611c34337efa046b6965, 2024-07-10T14:55:36.989Z) OS version: Darwin arm64 23.5.0 Modes: Restricted <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Pro (8 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off| |Load (avg)|2, 2, 3| |Memory (System)|32.00GB (0.71GB free)| |Process Argv|defang-mvp.code-workspace --disable-extensions --crash-reporter-id a649755e-ea3a-456b-b387-1787cc6d54e7| |Screen Re"
221401,No way to cancel launching a debug session that is stuck,,,,"1. Use F5 with a prelaunch task that never completes, e.g. because it wants watchers that aren't available 2. :bug: debug session starts spinning and never completes. I have to do a full window reload in order to retry the debug session launch"
221399,Don't fire onDidEndTerminalShellExecution with exitCode undefined immediately after first onDidChangeTerminalShellIntegration,,,,I think what is causing problems for @anthonykim1 is that calling `executeCommand` immediately after `onDidChangeTerminalShellIntegration` would fire multiple times and end up triggering an invalid `onDidEndTerminalShellExecution` with exitCode=undefined but the execution was set when it shouldn't have been. We should suppress this event if possible.
221396,User activity api regression on stable,,,,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ --> <!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ --> <!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions --> <!-- 🔎 Search existing issues to avoid creating duplicates. --> <!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ --> <!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. --> <!-- 🔧 Launch with `code --disable-extensions` to check. --> Does this issue occur when all extensions are disabled?: Yes/No <!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. --> <!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. --> - VS Code Version: stable/from sources - OS Version: Regression from https://github.com/microsoft/vscode/pull/214264 @connor4312 This broke user activity api, with this any extension that runs som"
221385,`ChatWidget#onDidChangeContentHeight` doesn't fire when attaching context,,,completed,"In process of enabling file attachments for inline chat. It seems that adding context doesn't trigger a `onDidChangeContentHeight`-event which causes ugly layouting for the content chat widget. Tho, it does [call re-layout](https://github.com/microsoft/vscode/blob/37d05b2a2d53361ad4cbe963bc55e08823ca69fc/src/vs/workbench/contrib/chat/browser/chatWidget.ts#L800-L802) which is fishy because it doesn't give the owner a chance to assign a new height"
221382,opening folders from CLI tries to open a file,,,completed,"Type: <b>Bug</b> On Mac, try to open a folder in vscode , from iterm2 $ code -n work This opens a non-existing file, instead of the folder in the SCM VS Code version: Code - Insiders 1.92.0-insider (8703a11164db333db471576d38ddc143d6ad7ead, 2024-07-10T08:26:11.347Z) OS version: Darwin arm64 23.6.0 Modes: <details> <summary>System Info</summary> |Item|Value| |---|---| |CPUs|Apple M1 Pro (10 x 2400)| |GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off| |Load (avg)|4, 3, 3| |Memory (System)|32.00GB (0.16GB free)| |Process Argv|-n work/di/SRE/sre-dev-consul-kv work/di/SRE/sre-dev-nomad-scheduler| |Screen Reader|no| |VM|0%| </details><details><summary>Extensions (19)</summary> Extension|Author (truncated)|Version ---|---|--- vscode-base64|ada|0.1.0 inline-hasher|ale|1.1.0 spellright|ban|3.0.132 iam-policy|bin|0.0.1"
221377,`getTerminalActionBarArgs` called twice,,,completed,"I'm not sure if that's an oversight, but `getTerminalActionBarArgs` is called twice. https://github.com/microsoft/vscode/blob/6f2f74c6b21ac220f644509145e729a0dd78dd76/src/vs/workbench/contrib/terminal/browser/terminalView.ts#L276 and then again in https://github.com/microsoft/vscode/blob/6f2f74c6b21ac220f644509145e729a0dd78dd76/src/vs/workbench/contrib/terminal/browser/terminalView.ts#L280"
221369,Ctrl+tab shows show in search panel button,,,completed,![image](https://github.com/user-attachments/assets/2b02d270-88b5-44f9-883c-18fc268694d1) ![image](https://github.com/user-attachments/assets/9106a67c-8ebb-473c-b602-506b5029b8bf)
221367,Quick pick widget - header rendering issues,,,completed,Open quick pick widget and notice the lower corners of the header are rounded. ![Image](https://github.com/user-attachments/assets/20d3600b-ba9e-4cb0-a369-49e75a21bf03)
